math_4q,math_3q,math_2q,math_1q,country_w_escs,unadjust_mscrore,adjust_mscore,obs_mscore,mean_mscore,ccode,oecd
355,379,394,433,Argentina,57,60,388,409,ARG,0
463,492,521,550,Australia,19,26,504,496,AUS,1
458,495,519,552,Austria,18,19,506,503,AUT,1
460,497,536,575,Belgium,15,15,515,510,BEL,1
360,377,395,437,Brazil,56,55,391,423,BRA,0
384,424,449,501,Bulgaria,46,47,439,451,BGR,0
486,509,529,558,Canada,13,17,518,508,CAN,1
378,409,429,477,Chile,50,48,423,443,CHL,1
497,546,572,626,Chinese Taipei,4,4,560,583,CHN,0
343,365,382,417,Colombia,60,61,376,408,COL,0
373,394,412,450,Costa Rica,55,53,407,431,CRI,0
438,459,471,517,Croatia,40,37,471,484,HRV,0
450,486,508,552,Czech Republic,24,20,499,503,CZE,1
460,489,513,545,Denmark,22,35,500,485,DNK,1
496,508,523,559,Estonia,11,12,521,518,EST,1
488,509,529,555,Finland,12,16,519,508,FIN,1
442,476,511,561,France,25,23,495,500,FRA,1
467,502,540,569,Germany,16,14,514,511,DEU,1
413,439,460,502,Greece,42,46,453,456,GRC,1
532,554,567,600,Hong Kong-China,3,3,561,584,HKG,0
422,464,486,539,Hungary,39,30,477,490,HUN,1
464,481,508,526,Iceland,27,41,493,470,ISL,1
356,363,374,408,Indonesia,62,58,375,411,IDN,0
462,489,512,545,Ireland,20,25,501,497,IRL,1
409,452,490,524,Israel,41,43,466,460,ISR,1
447,475,498,522,Italy,32,32,485,487,ITA,1
500,528,551,575,Japan,7,8,536,541,JPN,1
361,375,395,419,Jordan,59,62,386,397,JOR,0
405,427,437,458,Kazakhstan,48,51,432,440,KAZ,0
516,538,567,595,Korea,5,7,554,553,KOR,1
453,472,508,532,Latvia,28,22,491,500,LVA,0
490,552,542,564,Liechtenstein,8,9,535,528,LIE,0
439,465,491,522,Lithuania,37,36,479,484,LTU,0
438,470,508,546,Luxembourg,29,31,490,488,LUX,1
521,535,543,558,Macao-China,6,6,538,555,MAC,0
388,406,425,465,Malaysia,51,50,421,442,MYS,0
385,407,417,447,Mexico,52,52,413,435,MEX,1
375,401,413,453,Montenegro,53,56,410,419,MNE,0
484,513,537,565,Netherlands,10,13,523,515,NLD,1
444,493,514,559,New Zealand,23,21,500,500,NZL,1
459,479,504,522,Norway,30,39,489,476,NOR,1
452,482,506,542,OECD average,,,494,495,,
317,352,382,421,Peru,63,59,368,409,PER,0
473,501,526,571,Poland,14,10,518,526,POL,1
441,474,495,548,Portugal,31,18,487,506,PRT,1
338,377,399,401,Qatar,61,63,376,367,QAT,0
407,428,444,501,Romania,45,42,445,463,ROU,0
445,468,496,521,Russian Federation,34,33,482,487,RUS,0
416,436,450,495,Serbia,43,44,449,459,SRB,0
562,602,627,660,Shanghai-China,1,1,613,627,CHN,0
523,557,588,627,Singapore,2,2,573,585,SGP,0
416,473,496,545,Slovak Republic,35,28,482,492,SVK,1
458,486,511,552,Slovenia,21,24,501,499,SVN,1
442,471,495,533,Spain,33,29,484,492,ESP,1
443,470,495,518,Sweden,38,40,478,471,SWE,1
488,519,543,576,Switzerland,9,11,531,525,CHE,1
407,412,421,468,Thailand,49,45,427,457,THA,0
362,370,393,430,Tunisia,58,57,388,415,TUN,0
412,436,447,498,Turkey,44,27,448,494,TUR,1
391,427,454,466,United Arab Emirates,47,54,434,424,ARE,0
458,477,508,545,United Kingdom,26,34,494,486,GBR,1
442,462,494,532,United States,36,38,481,476,USA,1
364,390,414,472,Uruguay,54,49,409,443,URY,0
473,499,518,555,Vietnam,17,5,511,565,VNM,0
